score;highest tile;number of moves;time per move
2380; 256; 271; 0.009972 
1108; 128; 149; 0.010156 
1420; 128; 167; 0.011423 
1404; 128; 175; 0.009744 
1556; 128; 185; 0.009813 
1292; 128; 166; 0.009383 
2960; 256; 303; 0.009262 
996; 64; 138; 0.008226 
1408; 128; 172; 0.009474 
1580; 128; 198; 0.009830 
928; 128; 114; 0.005859 
1468; 128; 165; 0.008592 
1076; 128; 136; 0.009565 
568; 64; 90; 0.010911 
2036; 256; 195; 0.008702 
320; 32; 57; 0.014572 
1388; 128; 164; 0.009694 
848; 64; 118; 0.008869 
1164; 128; 142; 0.007808 
596; 64; 89; 0.011821 
628; 64; 100; 0.007756 
304; 32; 61; 0.013588 
1132; 128; 142; 0.006442 
1328; 128; 158; 0.012617 
676; 64; 100; 0.013678 
2020; 256; 219; 0.011986 
1652; 128; 194; 0.012918 
732; 64; 112; 0.010311 
888; 64; 130; 0.011747 
1408; 128; 187; 0.010748 
648; 64; 107; 0.010144 
680; 64; 98; 0.009138 
1156; 128; 137; 0.011913 
480; 64; 71; 0.010209 
460; 64; 76; 0.013006 
656; 64; 108; 0.010383 
1352; 128; 158; 0.013300 
704; 64; 115; 0.009831 
980; 64; 147; 0.013161 
1300; 128; 160; 0.011549 
348; 32; 71; 0.009427 
1356; 128; 187; 0.013376 
1068; 128; 147; 0.010542 
716; 64; 113; 0.008784 
1412; 128; 169; 0.011323 
1100; 128; 136; 0.009289 
616; 64; 96; 0.010524 
1384; 128; 182; 0.011032 
760; 64; 115; 0.010717 
1332; 128; 161; 0.012990 
672; 64; 100; 0.010903 
600; 64; 91; 0.015964 
456; 32; 75; 0.010354 
1028; 128; 132; 0.009832 
1384; 128; 171; 0.006407 
596; 64; 102; 0.012062 
928; 64; 119; 0.011167 
1636; 128; 206; 0.009035 
816; 64; 127; 0.013038 
564; 64; 97; 0.010835 
644; 64; 104; 0.007633 
660; 64; 96; 0.012079 
656; 64; 113; 0.009522 
2012; 128; 225; 0.012722 
676; 64; 100; 0.005513 
1312; 128; 147; 0.011730 
1164; 128; 163; 0.012997 
1392; 128; 169; 0.007807 
680; 64; 99; 0.014377 
1468; 128; 198; 0.011414 
1304; 128; 156; 0.015071 
620; 64; 95; 0.012854 
1240; 128; 165; 0.011005 
708; 64; 115; 0.012363 
444; 32; 92; 0.011168 
1632; 128; 169; 0.014126 
1320; 128; 171; 0.009290 
512; 64; 82; 0.013758 
1520; 128; 192; 0.012487 
700; 64; 109; 0.008262 
1512; 128; 172; 0.011696 
628; 64; 95; 0.005459 
544; 64; 92; 0.009629 
456; 32; 86; 0.013312 
916; 128; 120; 0.012968 
1480; 128; 171; 0.010890 
1288; 128; 150; 0.009104 
1056; 128; 131; 0.010882 
624; 64; 102; 0.009971 
724; 64; 114; 0.007188 
1360; 128; 175; 0.009054 
832; 64; 114; 0.009671 
1324; 128; 173; 0.011650 
1332; 128; 169; 0.012902 
448; 32; 98; 0.009198 
1328; 128; 156; 0.008951 
844; 64; 122; 0.010109 
1424; 128; 156; 0.011624 
796; 64; 137; 0.009254 
1200; 128; 166; 0.011022 
