score;highest tile;number of moves;time per move
6444; 512; 508; 0.005449 
3372; 256; 312; 0.004293 
4588; 512; 341; 0.004621 
4668; 512; 356; 0.003821 
5404; 512; 409; 0.004097 
2368; 256; 221; 0.003989 
3368; 256; 308; 0.004336 
3044; 256; 268; 0.003837 
3240; 256; 290; 0.004058 
3144; 256; 293; 0.005758 
6876; 512; 530; 0.004108 
3032; 256; 279; 0.003879 
3056; 256; 275; 0.004065 
7208; 512; 544; 0.003764 
6828; 512; 532; 0.003931 
6444; 512; 498; 0.003340 
3556; 256; 331; 0.003384 
3336; 256; 300; 0.003660 
3188; 256; 288; 0.003522 
6856; 512; 517; 0.003492 
5464; 512; 441; 0.003573 
3432; 256; 310; 0.004771 
6048; 512; 457; 0.006004 
7328; 512; 579; 0.004644 
4252; 512; 304; 0.003235 
2780; 256; 245; 0.003802 
5440; 512; 429; 0.003519 
6832; 512; 507; 0.003387 
1556; 128; 185; 0.004032 
3068; 256; 276; 0.003563 
4432; 256; 395; 0.003358 
2900; 256; 268; 0.003617 
1856; 128; 207; 0.003580 
5084; 512; 402; 0.003203 
3700; 256; 316; 0.003491 
6068; 512; 461; 0.004232 
1408; 128; 164; 0.005814 
1780; 128; 198; 0.005586 
6592; 512; 508; 0.003647 
2860; 256; 255; 0.003571 
1448; 128; 148; 0.004872 
4832; 512; 373; 0.004000 
11088; 1024; 731; 0.003437 
3208; 256; 293; 0.003860 
3328; 256; 301; 0.003631 
5628; 512; 432; 0.003238 
3452; 256; 322; 0.003410 
4760; 512; 370; 0.003639 
3440; 256; 322; 0.003302 
6244; 512; 485; 0.003440 
5620; 512; 432; 0.003731 
6952; 512; 520; 0.003412 
5996; 512; 443; 0.003589 
3464; 256; 330; 0.003754 
2316; 256; 209; 0.004093 
3180; 256; 285; 0.003163 
3108; 256; 285; 0.004080 
4568; 256; 396; 0.003387 
2800; 256; 246; 0.003795 
2920; 256; 262; 0.004073 
3048; 256; 272; 0.004690 
2404; 256; 221; 0.003732 
5892; 512; 478; 0.003326 
6604; 512; 514; 0.003332 
7252; 512; 574; 0.003359 
6276; 512; 473; 0.003190 
5012; 512; 377; 0.003307 
7132; 512; 547; 0.003362 
5892; 512; 464; 0.003581 
6468; 512; 485; 0.003399 
5208; 512; 393; 0.003426 
3988; 256; 366; 0.003643 
4392; 512; 324; 0.003352 
3712; 256; 348; 0.003694 
5356; 512; 409; 0.003367 
3484; 256; 343; 0.004082 
2424; 256; 236; 0.003850 
1584; 128; 171; 0.003960 
3328; 256; 333; 0.003667 
5540; 512; 440; 0.003214 
2928; 256; 279; 0.003435 
6608; 512; 495; 0.003480 
2572; 256; 246; 0.003981 
1024; 64; 138; 0.004199 
4952; 512; 391; 0.003683 
10356; 1024; 665; 0.003457 
4696; 512; 356; 0.003370 
2732; 256; 251; 0.003922 
6420; 512; 490; 0.003521 
6764; 512; 506; 0.003337 
3376; 256; 310; 0.003902 
3516; 256; 328; 0.003783 
7116; 512; 536; 0.003394 
5440; 512; 426; 0.003549 
3944; 256; 370; 0.003324 
1588; 128; 190; 0.004089 
2776; 256; 253; 0.003851 
13044; 1024; 884; 0.003311 
4784; 512; 365; 0.003399 
2144; 256; 206; 0.003699 
