score;highest tile;number of moves;time per move
62800; 4096; 2942; 0.004648
7948; 512; 554; 0.005901 
9004; 512; 617; 0.005218 
7228; 512; 495; 0.005382 
10888; 512; 687; 0.005547 
7332; 512; 502; 0.005744 
15960; 1024; 925; 0.006192
46392; 4096; 2058; 0.006448
7164; 512; 490; 0.006353 
11028; 512; 710; 0.005540 
14308; 1024; 828; 0.005408 
27384; 2048; 1436; 0.005747
23608; 2048; 1225; 0.006082 
7164; 512; 490; 0.005365 
16260; 1024; 968; 0.005237 
15228; 1024; 905; 0.005220 
27156; 2048; 1417; 0.005822 
7036; 512; 481; 0.005269 
27460; 2048; 1440; 0.005809 
14452; 1024; 846; 0.005191 
8928; 512; 607; 0.005238 
9224; 512; 622; 0.005317 
3152; 256; 256; 0.005045 
34640; 2048; 1789; 0.006200 
6656; 512; 456; 0.005273 
8968; 512; 575; 0.005205 
5256; 512; 363; 0.005311 
14640; 1024; 856; 0.005452 
16836; 1024; 1003; 0.005312 
12316; 1024; 733; 0.005049 
12632; 1024; 768; 0.005246 
7520; 512; 527; 0.005204 
16120; 1024; 953; 0.005355 
7836; 512; 542; 0.005222 
15684; 1024; 919; 0.005259 
14184; 1024; 822; 0.005198 
6772; 512; 472; 0.005475 
7152; 512; 487; 0.005309 
30148; 2048; 1517; 0.005856 
15972; 1024; 936; 0.005568 
12028; 512; 774; 0.005788 
12080; 1024; 726; 0.005436 
27360; 2048; 1426; 0.007537 
7172; 512; 492; 0.005447 
14720; 1024; 864; 0.005890 
8060; 512; 558; 0.005396 
27568; 2048; 1463; 0.006328 
5984; 512; 429; 0.005428 
20472; 1024; 1197; 0.009987 
17700; 1024; 1056; 0.011589 
2400; 256; 198; 0.010659 
13896; 1024; 803; 0.009420 
12472; 1024; 750; 0.011954 
30484; 2048; 1533; 0.007476 
3816; 256; 320; 0.011197 
7096; 512; 485; 0.009428 
5672; 512; 402; 0.011714 
7148; 512; 498; 0.010796 
13840; 1024; 831; 0.011240 
26424; 2048; 1354; 0.011350 
25472; 2048; 1295; 0.011116 
12016; 1024; 723; 0.011035 
3284; 256; 272; 0.009877 
15628; 1024; 912; 0.011100 
11788; 512; 770; 0.011104 
7300; 512; 507; 0.012571 
7968; 512; 563; 0.013673 
15752; 1024; 925; 0.013450 
24368; 2048; 1207; 0.009688 
12052; 1024; 711; 0.009226 
7508; 512; 527; 0.010675 
18320; 1024; 1055; 0.010537 
7536; 512; 524; 0.008847 
25624; 2048; 1312; 0.009978 
7804; 512; 549; 0.011875 
16264; 1024; 958; 0.014289 
16764; 1024; 992; 0.013358 
6580; 512; 456; 0.011075 
6352; 512; 453; 0.011456 
22332; 2048; 1115; 0.010396 
15396; 1024; 927; 0.011401 
12504; 1024; 753; 0.010896 
10076; 512; 658; 0.011967 
14808; 1024; 880; 0.009457 
3440; 256; 277; 0.008352 
14400; 1024; 834; 0.009567 
23212; 2048; 1181; 0.010015 
7152; 512; 497; 0.012063 
8600; 512; 578; 0.011437 
16116; 1024; 950; 0.011701 
16152; 1024; 957; 0.011885 
15516; 1024; 914; 0.010865 
2484; 256; 214; 0.012652 
7760; 512; 528; 0.011129 
12332; 1024; 736; 0.011353 
5828; 512; 411; 0.012054 
10260; 512; 652; 0.014640 
7604; 512; 539; 0.015200 
8444; 512; 602; 0.017264 
14320; 1024; 825; 0.015311
