score;highest tile;number of moves;time per move
79276; 4096;3654;0.384516
76752; 4096;3550;0.359512
25036; 2048;1314;0.149487
36840; 2048;1918;0.247431
36316; 2048;1894;0.246069
7676; 512;534;0.010898
8196; 512;571;0.009875
36992; 2048;1945;0.267042
6636; 512;456;0.010785
80052;  4096;3708;0.381678
132996; 8192; 5596; 1.388367
8116; 512; 568; 0.009984
36276; 2048; 1883; 1.039277
80528; 4096; 3730; 1.160787
16440; 1024;984; 0.054393
124072; 8192; 5157; 1.378960
80072; 4096; 3691; 1.376833
132880; 8192; 5584;1.451182
5680; 512; 396; 0.010817
36156; 2048; 1880; 0.997106
