score;highest tile;number of moves;time per move
112776; 8192;5231; 0.563374
68672; 4096;3156; 0.208033
16476; 1024;977;0.095524
16536; 1024;977;0.047004
33976; 2048;1764;0.175911
34340; 2048;1734;0.153927
25140; 2048;1321;0.126168
57548; 4096;2685; 0.168874
60396; 4096;2811;0148417
14732; 1024;863; 0.060150
21460; 2048;1073; 0.067980
74792; 4096;3399; 0.138845
59776; 4096;2763; 0.132649
51964; 4096;2367; 0.127724
75168; 4096;3459;0.170802
60544; 4096;2814;0.137725
27280; 2048;1423;0.109726
36424; 2048;1888;0.105396
