score;highest tile;number of moves;time per move
51880; 4096; 2387; 0.553324
36596; 2048; 1895; 0.471741
80876; 4096; 3780; 0.701950
80404; 4096; 3711; 0.713271
80264; 4096; 3721; 0.719036
81156; 4096; 3756; 0.664485
79924; 4096; 3699; 0.761657
16284; 1024; 961; 0.034585
60560; 4096; 2829; 0.618715
164488; 8192; 6764; 0.759432
71212; 4096; 3255; 0.613611
79092; 4096; 3639; 0.640068
59680; 4096; 2775; 0.526658
78424; 4096; 3601; 0.697029
60460; 4096; 2809; 0.553578
60648; 4096; 2826; 0.563922
16496; 1024; 982;  0.041135
70940; 4096; 3245; 0.625396
16500; 1024; 982; 0.047027
157212; 8192; 6529; 0.748447
123988; 8192; 5136; 0.940119
148256; 8192; 6065; 0.793540
167888; 8192; 6989; 0.821105
