score;highest tile;number of moves;time per move
3232; 256; 306; 0.011654 
1612; 128; 181; 0.007647 
4720; 512; 384; 0.005200 
1120; 64; 147; 0.003163 
1376; 64; 179; 0.007300 
3012; 256; 281; 0.007844 
2328; 128; 249; 0.004096 
3332; 256; 315; 0.007240 
1380; 128; 153; 0.009748 
2076; 128; 229; 0.008033 
1520; 128; 178; 0.007986 
3792; 256; 353; 0.007350 
1420; 128; 165; 0.007979 
3000; 256; 268; 0.007934 
2764; 256; 264; 0.008650 
1864; 128; 202; 0.008766 
3372; 256; 328; 0.007887 
6712; 512; 530; 0.007556 
1192; 128; 137; 0.007801 
3116; 256; 289; 0.009229 
3300; 256; 298; 0.008130 
4704; 512; 357; 0.007105 
804; 64; 107; 0.008538 
2756; 256; 273; 0.006928 
2012; 128; 218; 0.006733 
5676; 512; 471; 0.006796 
2752; 256; 265; 0.007465 
1064; 64; 162; 0.006997 
4512; 512; 345; 0.007182 
2376; 256; 229; 0.007985 
2004; 128; 238; 0.003477 
5336; 512; 432; 0.006966 
1432; 128; 174; 0.006494 
1084; 64; 145; 0.007674 
1568; 128; 180; 0.008058 
2224; 128; 240; 0.006834 
1808; 128; 214; 0.007422 
3748; 256; 368; 0.007121 
3380; 256; 320; 0.008388 
2456; 256; 244; 0.007912 
6324; 512; 502; 0.007336 
2124; 128; 231; 0.007425 
3428; 256; 324; 0.009192 
4020; 256; 359; 0.003219 
1008; 64; 135; 0.010005 
3152; 256; 299; 0.010195 
3096; 256; 295; 0.011522 
5576; 512; 435; 0.011940 
696; 64; 101; 0.012569 
2004; 128; 211; 0.011998 
1020; 64; 143; 0.004150 
1360; 128; 158; 0.007712 
608; 64; 93; 0.003650 
1496; 128; 168; 0.003998 
3448; 256; 315; 0.005539 
2580; 128; 279; 0.006767 
1700; 128; 185; 0.007017 
1648; 128; 184; 0.006775 
5208; 512; 405; 0.006096 
1052; 64; 143; 0.005560 
3876; 256; 335; 0.005525 
1404; 128; 159; 0.007237 
2768; 256; 273; 0.006842 
3532; 256; 345; 0.007971 
3688; 256; 345; 0.005749 
1996; 128; 235; 0.007184 
2748; 256; 260; 0.007439 
1768; 128; 203; 0.006788 
4604; 512; 357; 0.006173 
996; 64; 137; 0.008257 
1304; 64; 171; 0.011605 
3208; 256; 304; 0.011462 
2896; 256; 284; 0.010183 
2480; 256; 230; 0.007430 
608; 64; 90; 0.005817 
2024; 128; 219; 0.006846 
2872; 256; 273; 0.006099 
6272; 512; 516; 0.007830 
4228; 256; 377; 0.007345 
5184; 512; 412; 0.005136 
1636; 128; 184; 0.005001 
2180; 256; 210; 0.007139 
2468; 256; 237; 0.005395 
1092; 128; 133; 0.008285 
3204; 256; 309; 0.007287 
3404; 256; 325; 0.005124 
6328; 512; 496; 0.006342 
4684; 512; 367; 0.004731 
3400; 256; 304; 0.008058 
1616; 128; 184; 0.006042 
2532; 128; 274; 0.006426 
1336; 128; 150; 0.005865 
2412; 256; 235; 0.006808 
1480; 128; 177; 0.008440 
2432; 256; 227; 0.006358 
3636; 256; 329; 0.006604 
1912; 128; 210; 0.006153 
892; 64; 134; 0.007081 
5096; 512; 412; 0.006407 
1460; 128; 163; 0.006313 
