score;highest tile;number of moves;time per move
3516; 256; 358; 0.003132 
1132; 64; 152; 0.004166 
3468; 256; 366; 0.003444 
1232; 128; 155; 0.003211 
3008; 256; 319; 0.003158 
4184; 256; 417; 0.002808 
3964; 256; 399; 0.003084 
1156; 128; 150; 0.003570 
3060; 256; 316; 0.003292 
1656; 128; 207; 0.003426 
7140; 512; 619; 0.003425 
2116; 256; 210; 0.003410 
2772; 256; 287; 0.003395 
6888; 512; 593; 0.003187 
688; 64; 107; 0.003659 
3456; 256; 361; 0.002940 
4384; 512; 369; 0.003543 
1628; 128; 184; 0.002737 
3416; 256; 354; 0.003040 
6700; 512; 559; 0.003294 
1552; 128; 197; 0.003711 
1008; 64; 151; 0.003719 
5520; 512; 490; 0.002978 
2904; 256; 315; 0.003495 
1796; 128; 219; 0.003502 
1844; 128; 230; 0.003230 
3412; 256; 335; 0.003233 
4224; 256; 438; 0.003290 
2588; 256; 276; 0.002931 
3096; 256; 318; 0.003444 
6696; 512; 543; 0.003264 
3068; 256; 316; 0.004681 
2748; 256; 287; 0.003472 
2848; 256; 312; 0.003021 
2572; 256; 275; 0.003326 
2900; 256; 313; 0.003333 
1656; 128; 211; 0.003446 
3872; 256; 372; 0.003123 
2352; 256; 233; 0.003587 
3372; 256; 334; 0.003234 
3756; 256; 406; 0.002965 
5616; 512; 514; 0.003037 
1532; 128; 219; 0.003256 
1744; 128; 219; 0.003598 
6228; 512; 543; 0.003157 
2292; 256; 244; 0.003311 
3424; 256; 351; 0.003128 
4324; 256; 460; 0.002957 
1596; 128; 197; 0.003382 
4904; 512; 420; 0.002914 
968; 64; 137; 0.003516 
2756; 256; 281; 0.003287 
5672; 512; 503; 0.004273 
3340; 256; 340; 0.004216 
3228; 256; 349; 0.002888 
3268; 256; 325; 0.002869 
3524; 256; 361; 0.004751 
864; 64; 121; 0.004706 
1484; 128; 179; 0.003287 
1188; 128; 153; 0.002985 
5784; 512; 516; 0.003609 
3204; 256; 336; 0.004058 
3988; 256; 404; 0.005226 
8012; 512; 708; 0.004940 
5800; 512; 519; 0.004670 
816; 64; 127; 0.004382 
2632; 128; 305; 0.005503 
3364; 256; 331; 0.005020 
1112; 64; 167; 0.005220 
1824; 128; 234; 0.004903 
1784; 128; 235; 0.005329 
4228; 256; 437; 0.004037 
1376; 128; 179; 0.004229 
600; 64; 100; 0.005017 
3252; 256; 348; 0.006379 
2452; 256; 255; 0.007310 
1184; 64; 180; 0.005419 
3520; 256; 344; 0.004934 
1516; 128; 191; 0.005728 
1580; 128; 209; 0.003297 
2172; 256; 229; 0.003785 
2708; 256; 280; 0.004007 
708; 64; 116; 0.003878 
6480; 512; 557; 0.003560 
3604; 256; 384; 0.003776 
5408; 512; 471; 0.003659 
6404; 512; 543; 0.003622 
5696; 512; 513; 0.003466 
2780; 256; 292; 0.005480 
1792; 128; 240; 0.003644 
3380; 256; 348; 0.003284 
2164; 128; 245; 0.003314 
3476; 256; 371; 0.003465 
1864; 128; 232; 0.003534 
3084; 256; 313; 0.003601 
6296; 512; 551; 0.003153 
1808; 128; 229; 0.003227 
1532; 128; 177; 0.002806 
2188; 256; 234; 0.003533 
3268; 256; 335; 0.003477 
