score;highest tile;number of moves;time per move
4132; 256; 346; 0.003375 
6264; 512; 453; 0.003441 
5280; 512; 395; 0.003085 
4568; 256; 366; 0.003264 
3064; 256; 269; 0.003452 
6568; 512; 483; 0.003364 
3236; 256; 303; 0.003710 
3036; 256; 262; 0.003597 
6104; 512; 482; 0.003178 
3192; 256; 289; 0.003102 
5776; 512; 431; 0.003539 
3448; 256; 285; 0.003156 
3360; 256; 287; 0.003736 
6568; 512; 483; 0.003304 
7080; 512; 525; 0.003355 
3392; 256; 310; 0.003368 
6964; 512; 513; 0.003237 
1372; 128; 158; 0.003263 
7620; 512; 576; 0.003286 
3172; 256; 284; 0.003108 
2292; 256; 200; 0.003755 
5480; 512; 416; 0.003433 
2816; 256; 246; 0.003061 
3904; 256; 335; 0.003412 
3100; 256; 276; 0.003516 
1804; 128; 191; 0.003363 
6820; 512; 495; 0.003232 
3140; 256; 280; 0.003330 
3224; 256; 287; 0.003128 
3168; 256; 285; 0.003692 
2484; 256; 228; 0.003661 
3092; 256; 272; 0.003318 
5340; 512; 401; 0.003196 
3156; 256; 286; 0.003452 
2720; 256; 243; 0.003212 
3116; 256; 276; 0.003090 
3968; 256; 361; 0.004539 
2496; 256; 223; 0.004012 
2488; 256; 232; 0.004062 
4984; 256; 422; 0.003968 
5476; 512; 414; 0.003358 
2392; 256; 215; 0.003711 
7072; 512; 512; 0.003446 
3484; 256; 311; 0.003313 
7044; 512; 515; 0.003294 
3960; 256; 342; 0.003260 
1860; 128; 212; 0.003834 
6140; 512; 463; 0.003367 
1900; 128; 196; 0.003842 
5696; 512; 431; 0.003233 
3464; 256; 311; 0.003672 
5408; 512; 402; 0.003458 
5352; 512; 394; 0.003463 
1472; 128; 178; 0.003720 
7068; 512; 531; 0.003642 
7324; 512; 535; 0.003424 
3240; 256; 302; 0.003477 
3284; 256; 288; 0.003155 
6832; 512; 498; 0.003364 
3456; 256; 314; 0.003761 
6668; 512; 481; 0.003390 
11828; 1024; 737; 0.003210 
6540; 512; 488; 0.003503 
3356; 256; 302; 0.003613 
1480; 128; 179; 0.003588 
3436; 256; 302; 0.003263 
3204; 256; 284; 0.003132 
5488; 512; 415; 0.003547 
3536; 256; 334; 0.003664 
2784; 256; 235; 0.003552 
6348; 512; 451; 0.003368 
6424; 512; 457; 0.003684 
6736; 512; 476; 0.003384 
4784; 512; 360; 0.003360 
4100; 256; 336; 0.003704 
4988; 512; 379; 0.003353 
2112; 256; 187; 0.003813 
6948; 512; 504; 0.003510 
2184; 128; 234; 0.003759 
2340; 256; 208; 0.003563 
7128; 512; 524; 0.003453 
3588; 256; 300; 0.003241 
2968; 256; 259; 0.003959 
4128; 256; 339; 0.004392 
6552; 512; 470; 0.004382 
1256; 128; 151; 0.004287 
3364; 256; 305; 0.004146 
3992; 256; 366; 0.003632 
6440; 512; 466; 0.004178 
7424; 512; 554; 0.004936 
6472; 512; 491; 0.004678 
3040; 256; 264; 0.004904 
3352; 256; 292; 0.004812 
3340; 256; 302; 0.004531 
7620; 512; 545; 0.004374 
1160; 128; 138; 0.004546 
6392; 512; 462; 0.004199 
3532; 256; 314; 0.003993 
5864; 512; 431; 0.004130 
6288; 512; 473; 0.004025 
