score;highest tile;number of moves;time per move
5936; 512; 501; 0.004527 
3452; 256; 329; 0.003895 
1136; 128; 135; 0.003450 
8220; 512; 684; 0.003634 
5632; 512; 456; 0.003690 
6312; 512; 505; 0.003152 
8396; 512; 651; 0.003684 
7564; 512; 613; 0.004087 
6360; 512; 498; 0.005305 
3512; 256; 329; 0.004511 
8104; 512; 617; 0.003546 
15108; 1024; 1012; 0.003794 
5456; 512; 431; 0.003411 
8252; 512; 655; 0.003455 
3860; 256; 346; 0.003214 
8652; 512; 699; 0.003179 
6720; 512; 562; 0.003269 
4528; 256; 420; 0.003362 
7060; 512; 568; 0.003290 
8164; 512; 670; 0.003194 
8212; 512; 672; 0.005377 
7452; 512; 590; 0.005124 
7728; 512; 623; 0.005012 
7228; 512; 567; 0.004084 
5384; 512; 414; 0.004074 
4188; 256; 414; 0.003946 
7452; 512; 610; 0.004342 
7424; 512; 599; 0.003240 
5748; 512; 466; 0.003172 
7660; 512; 588; 0.003160 
11964; 1024; 788; 0.003162 
7948; 512; 618; 0.003205 
8740; 512; 730; 0.003380 
2448; 256; 234; 0.003388 
8040; 512; 640; 0.003096 
1744; 128; 203; 0.003699 
5788; 512; 475; 0.003433 
10904; 1024; 763; 0.003221 
7316; 512; 576; 0.003203 
5652; 512; 466; 0.003439 
9008; 512; 693; 0.003086 
12456; 1024; 857; 0.003165 
6424; 512; 522; 0.003231 
9828; 512; 798; 0.003212 
3652; 256; 337; 0.003403 
2368; 256; 219; 0.003183 
8276; 512; 672; 0.004101 
7360; 512; 583; 0.004689 
7432; 512; 608; 0.003371 
3300; 256; 314; 0.003354 
2908; 256; 274; 0.003273 
5604; 512; 476; 0.003185 
3736; 256; 355; 0.003228 
13028; 1024; 892; 0.003206 
3812; 256; 371; 0.003320 
7624; 512; 622; 0.003322 
12196; 1024; 892; 0.003194 
8316; 512; 711; 0.003127 
3600; 256; 348; 0.003534 
3296; 256; 318; 0.003133 
6044; 512; 521; 0.003403 
12552; 1024; 859; 0.003204 
3328; 256; 320; 0.003600 
11168; 1024; 752; 0.003247 
6664; 512; 526; 0.003316 
8032; 512; 663; 0.003224 
2428; 128; 269; 0.003882 
4044; 256; 353; 0.003331 
12832; 1024; 898; 0.003185 
6080; 512; 481; 0.003485 
6652; 512; 525; 0.004808 
7508; 512; 589; 0.004171 
7788; 512; 640; 0.003533 
5920; 512; 492; 0.003371 
6476; 512; 529; 0.003403 
7828; 512; 615; 0.003378 
6664; 512; 509; 0.003121 
9576; 512; 785; 0.003162 
4740; 512; 351; 0.003344 
13012; 1024; 938; 0.003281 
5244; 512; 431; 0.003302 
7352; 512; 590; 0.003318 
3548; 256; 347; 0.003288 
7188; 512; 571; 0.003462 
3332; 256; 310; 0.003581 
6012; 512; 481; 0.003181 
4712; 512; 372; 0.003343 
6040; 512; 520; 0.005612 
10480; 1024; 696; 0.003584 
12860; 1024; 946; 0.006481 
5668; 512; 492; 0.010257 
7480; 512; 597; 0.011562 
6580; 512; 520; 0.012888 
5836; 512; 489; 0.014283 
5492; 512; 437; 0.015304 
3304; 256; 320; 0.011761 
17080; 1024; 1157; 0.012432 
7892; 512; 654; 0.565674 
12540; 1024; 877; 0.004462 
3924; 256; 384; 0.005958 
